"","ID","Location","Attendance","Hours","Minutes","Game Date","Highlights","HOME TEAM","HOME SCORE","HOME TEAM LOSS","HOME TEAM WIn","HOME TEAM Series loss","HOME TEAM Series win","AWAY TEAM","AWAY SCORE","AWAY TEAM LOSS","AWAY TEAM WIn","AWAY TEAM Series loss","AWAY TEAM Series win"
"1106",21801143,"Target Center","18978","2","07","03-30","Simmons: 20 points, 11 rebounds, 9 assists","MIN","109","42","34","1","0","PHI","118","27","49","0","1"
"1107",21801144,"Talking Stick Resort Arena","16647","2","12","03-30","Valanciunas: 34 pts, 20 reb | Booker: 48 pts","PHX","115","60","17","1","1","MEM","120","45","31","1","1"
"1108",21801152,"Bankers Life Fieldhouse","15760","2","12","04-01","Sabonis: 18 points, 12 rebounds off bench","IND","111","32","46","1","1","DET","102","38","39","1","1"
"1109",21801153,"TD Garden","18624","2","04","04-01","Horford: 19 points, 11 rebounds, 10 assists","BOS","110","32","46","1","1","MIA","105","39","38","1","1"
"1110",21801154,"Barclays Center","17732","2","26","04-01","Bledsoe: 29 pts, 5 reb, 7 ast, 5 stl, 2 blk","BKN","121","39","39","2","0","MIL","131","20","58","0","2"
"1111",21801155,"Madison Square Garden","18874","2","11","04-01","Kornet: 24 points | Lopez: 29 points","NYK","113","62","15","1","0","CHI","105","57","21","0","1"
"1112",21801156,"Scotiabank Arena","19800","2","06","04-01","Green: 29 pts (7-10 3FG) | Fournier: 21 pts","TOR","121","23","55","2","1","ORL","109","40","38","1","2"
"1113",21801157,"Target Center","11209","2","00","04-01","Kanter: 20 points, 11 rebounds","MIN","122","43","34","2","1","POR","132","28","49","1","2"
"1114",21801158,"American Airlines Center","19645","2","08","04-01","Jackson: 24 points | Redick: 26 points","DAL","122","46","31","1","0","PHI","102","28","49","0","1"
"1115",21801159,"Vivint Smart Home Arena","18306","2","16","04-01","Gobert: 18 points, 18 rebounds, 3 blocks","UTA","111","30","47","0","1","CHA","102","42","35","1","0"
"1116",21801160,"Talking Stick Resort Arena","14050","2","09","04-01","Booker: 25 points, 13 assists","PHX","122","60","18","1","0","CLE","113","59","19","0","1"
"1117",21801161,"Chesapeake Energy Arena","18203","2","17","04-02","Westbrook: 2nd 20-20-20 game in NBA history","OKC","119","33","45","1","1","LAL","103","43","35","1","1"
"1118",21801162,"AT&T Center","18354","2","12","04-02","DeRozan: 29 points, 7 rebounds, 7 assists","SAS","117","33","45","0","1","ATL","111","50","28","1","0"
"1119",21801163,"Golden 1 Center","17583","2","05","04-02","Harden: 36 points, 10 assists","SAC","105","40","38","3","0","HOU","130","28","50","0","3"
"1120",21801164,"ORACLE Arena","19596","2","13","04-02","Cousins: 28 pts; Durant: 21 pts (ejected in 3rd)","GSW","116","24","53","1","2","DEN","102","26","51","2","1"
"1121",21801165,"Little Caesars Arena","18984","2","14","04-03","Sabonis: 15 points, 13 rebounds off bench","DET","89","39","39","2","1","IND","108","32","47","1","2"
"1122",21801166,"Amway Center","18846","2","06","04-03","Vucevic: 29 pts, 13 reb | Ross: 23 points","ORL","114","40","39","1","2","NYK","100","63","15","2","1"
"1123",21801167,"Capital One Arena","16616","2","14","04-03","Lemon hits winning FTs with 0:1.8 left","WAS","114","47","32","2","1","CHI","115","57","22","1","2"
"1124",21801168,"State Farm Arena","16638","2","24","04-03","Young: 33 pts, 12 ast | Simmons: 15 pts, 15 reb","ATL","130","50","29","1","2","PHI","122","29","49","2","1"
"1125",21801169,"Barclays Center","17732","2","06","04-03","Siakam: 28 pts, 10 reb | Leonard: 26 points","BKN","105","40","39","2","1","TOR","115","23","56","1","2"
"1126",21801170,"AmericanAirlines Arena","19904","2","18","04-03","Hayward: 25 pts, 8 reb, 5 ast off bench","MIA","102","40","38","2","1","BOS","112","32","47","1","2"
"1127",21801171,"Smoothie King Center","16844","2","12","04-03","Walker: 32 points | Randle: 34 pts, 11 reb","NOP","109","47","32","0","1","CHA","115","42","36","1","0"
"1128",21801172,"American Airlines Center","19576","2","08","04-03","Towns: 28 pts, 13 reb | Doncic: 27p /12r /6a","DAL","108","47","31","0","2","MIN","110","43","35","2","0"
"1129",21801173,"Pepsi Center","17643","2","03","04-03","Jokic: 20 points, 11 rebounds, 9 assists","DEN","113","26","52","2","1","SAS","85","34","45","1","2"
"1130",21801174,"Talking Stick Resort Arena","15797","2","08","04-03","Mitchell: 29 points | Ingles: 27 pts, 8 ast","PHX","97","61","18","3","0","UTA","118","30","48","0","3"
"1131",21801175,"Moda Center","19608","1","55","04-03","Kanter: 21 pts, 15 reb | Lillard: 20 pts, 10 ast","POR","116","28","50","2","1","MEM","89","47","31","1","2"
"1132",21801176,"Staples Center","17593","2","10","04-03","Harden: 31 pts, 7 ast | Paul: 29 points, 7 ast","LAC","103","32","47","0","2","HOU","135","28","51","2","0"
"1133",21801177,"Wells Fargo Center","20701","2","25","04-04","Giannis: 45 points, 13 rebounds, 6 assists","PHI","122","30","49","1","1","MIL","128","20","59","1","1"
"1134",21801178,"Golden 1 Center","17583","1","56","04-04","Fox: 16 points, 10 assists | Hield: 23 points","SAC","117","40","39","0","1","CLE","104","60","19","1","0"
"1135",21801179,"Staples Center","18997","2","02","04-04","Cousins: 21 points, 10 rebounds","LAL","90","44","35","2","1","GSW","108","24","54","1","2"
"1136",21801180,"Spectrum Center","18684","2","10","04-05","Lamb: Winning 3 with 3.3 seconds left","CHA","113","42","37","1","1","TOR","111","24","56","1","1"
"1137",21801181,"Amway Center","18999","2","10","04-05","Vucevic, Fournier, Ross: 25 points apiece","ORL","149","40","40","0","3","ATL","113","51","29","3","0"
"1138",21801182,"Capital One Arena","20409","2","08","04-05","Eight Spurs score in double-figures","WAS","112","48","32","1","0","SAS","129","34","46","0","1"
"1139",21801183,"Bankers Life Fieldhouse","17371","2","09","04-05","Hayward: 21 points off bench (9-9 FGs)","IND","97","33","47","2","1","BOS","117","32","48","1","2"
"1140",21801184,"Toyota Center","18055","2","02","04-05","Harden: 26 points, 8 rebounds, 8 assists","HOU","120","28","52","0","1","NYK","96","64","15","1","0"
"1141",21801185,"Target Center","17763","2","07","04-05","Towns: 13 pts, 11 reb | Wade: 24 pts off bench","MIN","111","43","36","0","1","MIA","109","41","38","1","0"
"1142",21801186,"Chesapeake Energy Arena","18203","2","16","04-05","Westbrook: 3rd straight triple-double average","OKC","123","33","46","0","1","DET","110","40","39","1","0"
"1143",21801187,"American Airlines Center","20111","1","56","04-05","Wright: 26 points, 10 rebounds, 14 assists","DAL","112","48","31","2","0","MEM","122","47","32","0","2"
"1144",21801188,"Vivint Smart Home Arena","18306","2","10","04-05","Mitchell: 23 pts | Gobert: 17 pts, 11 reb, 4 blk","UTA","119","30","49","1","2","SAC","98","41","39","2","1"
"1145",21801189,"Talking Stick Resort Arena","16410","2","26","04-05","Jackson: 35 pts | Bender: 10p / 11r / 6a / 7b","PHX","133","61","19","2","1","NOP","126","48","32","1","2"
"1146",21801190,"Pepsi Center","19928","2","17","04-05","Jokic: 22 pts, 13 reb, 9 ast | Millsap: 25 pts","DEN","119","26","53","0","2","POR","110","29","50","2","0"
"1147",21801191,"ORACLE Arena","19596","2","03","04-05","Curry: 40 points, 9-12 3FGs | Sexton: 27 pts","GSW","120","24","55","0","1","CLE","114","61","19","1","0"
"1148",21801192,"Staples Center","17910","2","20","04-05","Caruso: 32 points, 10 rebounds, 5 assists","LAC","117","33","47","1","2","LAL","122","44","36","2","1"
"1149",21801193,"Fiserv Forum","18116","2","10","04-06","Russell: 25 pts, 10 ast | LeVert: 24 pts","MIL","128","21","59","0","3","BKN","133","40","40","3","0"
"1150",21801194,"United Center","21059","2","05","04-06","Embiid: 20 points, 10 rebounds, 5 assists","CHI","96","58","22","1","1","PHI","116","30","50","1","1"
"1151",21801195,"Scotiabank Arena","19800","2","23","04-07","Siakam: 23 points | Wade: 21 points","TOR","117","24","57","0","3","MIA","109","42","38","3","0"
"1152",21801196,"Quicken Loans Arena","19432","2","00","04-07","Aldridge: 18 points, 13 rebounds","CLE","90","62","19","1","0","SAS","112","34","47","0","1"
"1153",21801197,"Target Center","18978","2","29","04-07","Westbrook: 27p /10r /15a | George: 27 points","MIN","126","44","36","0","3","OKC","132","33","47","3","0"
"1154",21801198,"Little Caesars Arena","19871","2","07","04-07","Walker: 31 points | Drummond: 15 pts, 23 reb","DET","91","41","39","3","0","CHA","104","42","38","0","3"
"1155",21801199,"Bankers Life Fieldhouse","16197","1","59","04-07","Nets clinch first playoff berth since 2015","IND","96","34","47","0","2","BKN","108","40","41","2","0"
"1156",21801200,"Toyota Center","18055","1","56","04-07","Rockets set NBA single-game record w/ 27 3s","HOU","149","28","53","0","2","PHX","113","62","19","2","0"
"1157",21801201,"FedExForum","16744","2","26","04-07","Burke: 24 points | Wright: 20p /13r /12a","MEM","127","48","32","0","3","DAL","129","48","32","3","0"
"1158",21801202,"Fiserv Forum","17775","2","15","04-07","Giannis: 30 points, 9 rebounds | Len: 33 points","MIL","115","21","60","1","2","ATL","107","52","29","2","1"
"1159",21801203,"TD Garden","18624","2","03","04-07","Magic clinch first playoff berth since 2012","BOS","108","33","48","2","0","ORL","116","40","41","0","2"
"1160",21801204,"Madison Square Garden","19812","2","06","04-07","Hezonja: 30 points, 6 rebounds, 5 assists","NYK","113","64","16","3","0","WAS","110","49","32","0","3"
"1161",21801205,"ORACLE Arena","19596","2","13","04-07","Curry: 27 pts | Green: 10 pts, 10 reb, 9 ast","GSW","131","24","56","1","2","LAC","104","34","47","2","1"
"1162",21801206,"Moda Center","19890","2","12","04-07","Lillard: 30 points | Aminu: 23 pts, 11 reb","POR","115","29","51","3","0","DEN","108","27","53","0","3"
"1163",21801207,"Golden 1 Center","17583","2","02","04-07","Payton: 26 pts, 14 ast | Fox: 24 pts, 11 ast","SAC","129","42","39","2","1","NOP","133","48","33","1","2"
"1164",21801208,"Staples Center","18997","2","14","04-07","Caldwell-Pope: 32 points | Caruso: 18 pts","LAL","113","44","37","2","1","UTA","109","31","49","1","2"
"1165",21801209,"Quicken Loans Arena","19432","1","59","04-09","Walker: 23 points, 7 assists, 3 rebounds","CLE","97","63","19","2","1","CHA","124","42","39","1","2"
"1166",21801210,"Little Caesars Arena","19802","2","13","04-09","Pistons erase 22-point deficit","DET","100","41","40","0","1","MEM","93","49","32","1","0"
"1167",21801211,"Capital One Arena","20409","2","08","04-09","Dozier: 12 pts, 11 reb, 5 ast, 2 stl off bench","WAS","110","50","32","2","0","BOS","116","33","49","0","2"
"1168",21801212,"AmericanAirlines Arena","20153","2","10","04-09","Wade scores 30 in home finale; Heat eliminated","MIA","122","42","39","2","0","PHI","99","31","50","0","2"
"1169",21801213,"United Center","21350","2","02","04-09","Knox: 17 pts, 10 reb | Robinson: 8 pts, 17 reb","CHI","86","59","22","1","1","NYK","96","64","17","1","1"
"1170",21801214,"Target Center","16119","1","58","04-09","Leonard: 20 pts | Boucher: 15 pts, 13 reb","MIN","100","45","36","1","0","TOR","120","24","58","0","1"
"1171",21801215,"Smoothie King Center","17090","1","57","04-09","Cousins: 21 points, 12 rebounds, 6 assists","NOP","103","49","33","2","0","GSW","112","24","57","0","2"
"1172",21801216,"American Airlines Center","21041","2","13","04-09","Crawford oldest ever to score 50-plus","DAL","120","48","33","2","1","PHX","109","63","19","1","2"
"1173",21801217,"Vivint Smart Home Arena","18306","2","15","04-09","Mitchell: 46 points, 7 rebounds, 4 assists","UTA","118","31","50","1","2","DEN","108","28","53","2","1"
"1174",21801218,"Chesapeake Energy Arena","18203","2","24","04-09","George hits game-winner with 1.8 seconds left","OKC","112","33","48","1","2","HOU","111","29","53","2","1"
"1175",21801219,"Staples Center","18997","2","07","04-09","Harkless wins it at the buzzer","LAL","101","45","37","1","2","POR","104","29","52","2","1"
"1176",21801220,"State Farm Arena","17143","2","30","04-10","Leaf: 28 pts, 10 reb | Collins: 20 pts, 25 reb","ATL","134","53","29","3","0","IND","135","34","48","0","3"
"1177",21801221,"Barclays Center","17732","1","53","04-10","Wade: Fifth career triple-double","BKN","113","40","42","2","1","MIA","94","43","39","1","2"
"1178",21801222,"Spectrum Center","17719","2","09","04-10","Ross: 35 points | Walker: 43 points","CHA","114","43","39","1","2","ORL","122","40","42","2","1"
"1179",21801223,"Madison Square Garden","19812","2","04","04-10","Pistons clinch first playoff berth since 2016","NYK","89","65","17","3","0","DET","115","41","41","0","3"
"1180",21801224,"Wells Fargo Center","20197","1","56","04-10","J. Simmons: 20 points, 7 rebounds","PHI","125","31","51","1","2","CHI","109","60","22","2","1"
"1181",21801225,"FedEx Forum","17794","1","56","04-10","Wright: 13 points, 11 rebounds, 11 assists","MEM","132","49","33","3","0","GSW","117","25","57","0","3"
"1182",21801226,"Fiserv Forum","18082","2","00","04-10","Westbrook: 15 points, 11 rebounds, 17 assists","MIL","116","22","60","1","0","OKC","127","33","49","0","1"
"1183",21801227,"AT&T Center","18629","2","03","04-10","Nowitzki: 20 points, 10 rebounds","SAS","105","34","48","0","3","DAL","94","49","33","3","0"
